"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","FC","FC_round"
"CD9","CD9",0.289834922233661,1.90789298567088,4.87379947960845,1.17401480691239e-06,9.70436653248114e-06,4.58271136522681,1.22250038729684,1.22
"ECHS1","ECHS1",0.289204457034516,3.12259102857871,5.06267907429116,4.48248607293409e-07,4.06685182748457e-06,5.50548098982916,1.22196626501648,1.22
"PPP1R1A","PPP1R1A",0.28916157385312,0.82000567143912,3.90226039911612,9.82035614687639e-05,0.000530444488123672,0.380544552783956,1.22192994339568,1.22
"PCSK1N","PCSK1N",0.289116196521452,0.635873071598505,4.94379328295363,8.24902053828237e-07,7.0760264265048e-06,4.92066631437991,1.22189151043046,1.22
"PEPD","PEPD",0.288930272161154,2.59323497302298,4.26266278882225,2.10657078205621e-05,0.000132226434908071,1.83269094234633,1.22173405181795,1.22
"MICU1","MICU1",0.287356667597192,1.0226458583759,6.88809418754734,7.38113999770854e-12,1.33815880277606e-10,16.1735054692703,1.22040218463965,1.22
"CES2","CES2",0.286330961580323,1.50112372269653,4.9742227498324,7.06560442904793e-07,6.14857917336298e-06,5.06905980611403,1.21953482948149,1.22
"CA4","CA4",0.286095974459405,0.549669535654336,5.46496970731399,5.16113234491992e-08,5.46299981643957e-07,7.58488538114891,1.21933620701948,1.22
"FGF9","FGF9",0.284250555858127,0.391393380281684,5.95799911995397,2.97175185596091e-09,3.83762046544059e-08,10.3438076583581,1.21777749425723,1.22
"MAL","MAL",0.283841044044768,2.7416859942674,4.40087252654767,1.13043967977776e-05,7.53995154972445e-05,2.42301543469158,1.21743187478477,1.22
"ACSM3","ACSM3",0.282877716271523,0.823520268729638,4.58191858531698,4.86882645926121e-06,3.49359652954006e-05,3.22427927737273,1.21661923286117,1.22
"SLC7A9","SLC7A9",0.282614222623022,2.03538484145057,2.88938243711396,0.00389831262303136,0.0134074155972067,-3.02185721844718,1.21639704996137,1.22
"HSPA2","HSPA2",0.282289618930233,1.16302311571176,3.65835857123225,0.000259889070616086,0.00125229300049457,-0.530462321996863,1.2161233936816,1.22
"PROZ","PROZ",0.281718925658866,-0.119250268254948,4.28883503458717,1.87490307768166e-05,0.00011877871108609,1.94305747489338,1.21564242149731,1.22
"QPRT","QPRT",0.281200792979868,1.68056400757194,4.75774213841422,2.08659585157063e-06,1.62865973910761e-05,4.03273698626216,1.21520591138612,1.22
"CPE","CPE",0.281177708926864,0.75357810252683,3.88702823162081,0.000104526468580934,0.000561630657509223,0.321952848441458,1.21518646746176,1.22
"CYB5A","CYB5A",0.280446590965971,3.36382180122454,5.94102360728911,3.29099882130277e-09,4.21157233389497e-08,10.2449789372215,1.21457080057066,1.21
"HSD17B14","HSD17B14",0.280416078337454,0.393994991279539,4.34627596388722,1.44863536186794e-05,9.36894154022748e-05,2.1876097569013,1.21454511298272,1.21
"FMO5","FMO5",0.280414759994881,0.131878006073384,5.08372431640888,4.01820950196933e-07,3.68155843706419e-06,5.61041920359889,1.21454400312529,1.21
"GADD45A","GADD45A",0.279506319879718,1.75704879733647,5.36399335087155,9.00610688879456e-08,9.18120069171728e-07,7.04839519359132,1.21377946650564,1.21
"ASB9","ASB9",0.279157619611565,0.275618146522226,5.39654002309655,7.53447742939727e-08,7.75831135101582e-07,7.22025307751815,1.21348613072208,1.21
"MUC13","MUC13",0.278757458087898,-0.161201153592993,3.59256323829088,0.000334732118447299,0.00157001647299249,-0.766276453014106,1.21314959173971,1.21
"ATP6V0E2","ATP6V0E2",0.278607029026808,1.27624416414339,5.66092465459639,1.70514812280675e-08,1.96341661663277e-07,8.65374635347805,1.21302310385767,1.21
"NECAB2","NECAB2",0.278241789008989,-0.29516157748766,5.95749361496251,2.98080700657975e-09,3.84347435589886e-08,10.3408607473787,1.21271604762573,1.21
"NPR3","NPR3",0.278237475486967,1.0234872319828,4.27999158276659,1.9503222214584e-05,0.00012340374204463,1.90569095911481,1.21271242172461,1.21
"IGFBP2","IGFBP2",0.277886105564269,0.317504289253043,6.41371362581595,1.73792806034018e-10,2.70888939283207e-09,13.098629678856,1.21241710027957,1.21
"SUGCT","SUGCT",0.277798945250891,0.630614245245798,4.76461094400904,2.01747474424966e-06,1.57832282019532e-05,4.06492575863485,1.21234385440341,1.21
"MATN2","MATN2",0.277764238360398,0.686443267472293,5.99081742721752,2.43786736066522e-09,3.20813304540565e-08,10.5356441306524,1.21231468941837,1.21
"GRHPR","GRHPR",0.277723360193987,1.88177756904162,5.57810286650114,2.73492888927282e-08,3.03963564052333e-07,8.19752109719043,1.21228033947044,1.21
"GNG11","GNG11",0.277501320958359,1.39837419950173,5.94839043748413,3.14855011245171e-09,4.04475352544607e-08,10.2878339304532,1.21209377676685,1.21
"MAOB","MAOB",0.277405141192753,1.82969771598456,5.67087628120896,1.61035404682345e-08,1.86265499194228e-07,8.70900438414824,1.21201297312771,1.21
"CA12","CA12",0.277093236952295,1.82372372463525,5.55055493836377,3.19579960553719e-08,3.50236344765464e-07,8.04722054873269,1.2117509696456,1.21
"DHTKD1","DHTKD1",0.275545958398537,0.969822014522001,5.16375122150262,2.64132734624861e-07,2.49607875373309e-06,6.01333812922319,1.2104520733592,1.21
"ALDH2","ALDH2",0.275021348637971,2.74198509429479,5.67217688552062,1.59835009926786e-08,1.85086407304801e-07,8.71623316226605,1.21001199453965,1.21
"CA2","CA2",0.273855164039873,2.63225022232847,4.74602783258675,2.20976017683357e-06,1.71692992462942e-05,3.97794601510555,1.20903429159917,1.21
"HOXD10","HOXD10",0.272008830233591,0.192879211739933,6.52931098267281,8.20384512634684e-11,1.32938694796983e-09,13.8285052590749,1.20748798207703,1.21
"DPEP1","DPEP1",0.271562688702051,1.4061144384538,2.72308107727819,0.0065194244504723,0.0208306381075357,-3.48432965075032,1.20711463411709,1.21
"NELL1","NELL1",0.271542261923375,0.0469168059512248,5.04028615843877,5.03325794189332e-07,4.52241322107726e-06,5.39428966711453,1.2070975429868,1.21
"ELF5","ELF5",0.271468912680212,-0.370165041691223,5.17611697624008,2.47420536649758e-07,2.349001845166e-06,6.07614484197223,1.20703617350956,1.21
"ENTPD5","ENTPD5",0.270605144425338,0.991232961062054,4.37985450248254,1.24410231132489e-05,8.191208070378e-05,2.33204961392466,1.20631371488173,1.21
"SLC22A7","SLC22A7",0.268566807037386,0.361959678776576,4.32038874909101,1.62783003764641e-05,0.000104420088675876,2.07700023015963,1.20461055651314,1.2
"ANGPTL3","ANGPTL3",0.267468938090073,0.348596715151235,4.12752370809538,3.80556466995893e-05,0.000226627249565114,1.27339404121022,1.20369421493654,1.2
"ECI2","ECI2",0.266334231108679,2.16027522503163,5.75463169664486,9.91450866768814e-09,1.19406185073158e-07,9.17780120979618,1.20274785884489,1.2
"EPHX1","EPHX1",0.265807056405281,0.682813118400255,4.77310032070801,1.93508350156427e-06,1.52436277376692e-05,4.10477171863243,1.20230844344775,1.2
"SLC22A2","SLC22A2",0.265638911589627,1.77555214254035,4.38555660369182,1.21223138244689e-05,8.01232442502874e-05,2.35668597304761,1.20216832364043,1.2
"ASAP2","ASAP2",0.265588576910203,1.44045382542857,6.64828810681797,3.74011526307551e-11,6.37377976082452e-10,14.5928024455744,1.20212638151137,1.2
"CDHR5","CDHR5",0.265322774067657,-0.0266664285059541,5.19435154990717,2.24628053297795e-07,2.14656247193454e-06,6.16902712698509,1.20190492155829,1.2
