"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","FC","FC_round"
"RNASET2","RNASET2",0.689969296798383,1.12903418407097,18.9933792384768,1.55592938181525e-74,5.98096914626352e-73,158.810775299015,1.61324918517169,1.61
"ACKR1","ACKR1",0.681202429361936,-0.178077313257878,12.2181447574041,2.99921914540127e-33,3.86721510236166e-32,64.2553798625881,1.60347563203897,1.6
"ALOX5AP","ALOX5AP",0.677455279160011,0.350450670690145,15.5208510836587,1.34402859251576e-51,3.22598412170743e-50,106.238618956702,1.59931628605953,1.6
"NCKAP1L","NCKAP1L",0.671798490020628,-0.37439895659522,24.6143124282566,3.48507984532321e-118,3.83171413101396e-116,258.970694353405,1.59305766499025,1.59
"NMI","NMI",0.669818241032586,0.631452355232989,22.1824851533158,2.00117699692166e-98,1.14955251649011e-96,213.619902002424,1.59087252766967,1.59
"TNFRSF17","TNFRSF17",0.669649018639203,-0.913014233973132,16.3467985701339,9.82090624665796e-57,2.64259911505468e-55,118.005182780458,1.59068593558958,1.59
"TNFAIP3","TNFAIP3",0.667600327565248,-0.0545774134984021,20.3077180187774,4.43858409094016e-84,1.990549224994e-82,180.703703163138,1.58842869393923,1.59
"ARHGAP25","ARHGAP25",0.665008842947365,-0.415232705385092,25.4165919264986,5.85320374231028e-125,7.87486950856877e-123,274.522919730071,1.58557799193406,1.59
"LILRB2","LILRB2",0.66367722114291,-0.582622478871014,23.032086907419,3.44920550926461e-105,2.35120842214871e-103,229.141997346156,1.58411516295801,1.58
"COL1A2","COL1A2",0.660938120286268,1.28405902032938,8.64968975401183,9.86823121017333e-18,5.73962822093414e-17,28.8872660633554,1.58111041516224,1.58
"FCMR","FCMR",0.655955051868298,-0.561613992832293,22.4385523331265,1.90228524869482e-100,1.1374775829184e-98,218.260131838868,1.57565868063087,1.58
"CCL2","CCL2",0.655711581321318,1.04903420571038,10.5267950478658,2.62006747512225e-25,2.34384863806868e-24,46.1284116571756,1.57539279345361,1.58
"SERPING1","SERPING1",0.655685225095773,1.33252809654223,15.0742689623463,6.57175934848149e-49,1.4800933774939e-47,100.07973712891,1.57536401326976,1.58
"MS4A1","MS4A1",0.653071755852778,-0.696502933065132,17.2314508919779,1.836401284801e-62,5.63879974086795e-61,131.13256658305,1.57251279498171,1.57
"RGS1","RGS1",0.652394447076355,-0.573432730518099,16.0170200377364,1.16918493478692e-54,3.00374772819002e-53,113.249386367554,1.57177471332707,1.57
"CRLF3","CRLF3",0.651209502115835,0.270770996320182,22.6362799214185,5.10640734593369e-102,3.20325246086945e-100,221.865843280441,1.57048427992158,1.57
"RAB31","RAB31",0.650858827463024,0.696339140785134,19.4655548746444,6.51790775664992e-78,2.65520345863527e-76,166.557896261685,1.57010259003785,1.57
"CD86","CD86",0.647284212858937,-0.649763701802851,27.2867999482272,3.42712761876454e-141,1.03065823240786e-138,311.790086669781,1.56621710899511,1.57
"BASP1","BASP1",0.646775609411138,0.646200966825033,13.7909839029701,1.54975228316423e-41,2.77516936871353e-40,83.2037742044573,1.56566505675747,1.57
"CLIC2","CLIC2",0.6454183718421,-0.303943969778333,26.2066725191811,9.59708703597421e-132,1.78418572623339e-129,290.100168640247,1.56419282587348,1.56
"PRF1","PRF1",0.643787281259859,-0.464146059792203,23.987744918295,5.60180907732269e-113,4.89559810389953e-111,247.020413340954,1.56242537093418,1.56
"LY96","LY96",0.643120905596472,-0.147318067910366,16.5452944026089,5.33323855354675e-58,1.5022689865018e-56,120.904174829117,1.56170385890564,1.56
"ISG15","ISG15",0.64200187405042,0.212786899542844,12.9546217027778,5.03654113673053e-37,7.79101862678815e-36,72.8837540789786,1.56049298741519,1.56
