"","Row","d.value","stdev","rawp","q.value","R.fold","logFC","FC_round"
"SP110",4275,9.93865483207288,0.0194550702493354,0,0,1.14342142470517,0.193357227941874,1.14
"CD2",1438,9.93677379209439,0.0415526738865684,0,0,1.33135888508482,0.412899520867497,1.33
"NMI",552,9.92689187712133,0.0283837977723991,0,0,1.21567946856106,0.281762891548683,1.22
"PYCARD",6696,9.91368249557203,0.0333211573528733,0,0,1.25730561860295,0.33033537438138,1.26
"TLR2",5478,9.89358216744579,0.0247273946882211,0,0,1.1847991503408,0.244642511134777,1.18
"TMSB10",6021,9.89300656510151,0.0436295962584329,0,0,1.34875460196962,0.431627882217405,1.35
"ITGB2",9031,9.87334518780507,0.0370108614326884,0,0,1.28825751696644,0.365421010622955,1.29
"APOBEC3A",44,9.86713685335816,0.0358491645366998,0,0,1.27785896070668,0.353728612562171,1.28
"RNF125",283,9.85226310046437,0.0193008563946944,0,0,1.14088795636838,0.19015711526481,1.14
"PTPN22",9756,9.85070489662879,0.0168458846200649,0,0,1.12189980585732,0.165943838114918,1.12
"PRDM1",5715,9.84766038198611,0.018091432060974,0,0,1.13143858670331,0.178158278760247,1.13
"ST8SIA4",2821,9.81502615141097,0.0158921637050666,0,0,1.11417975133125,0.155982002367732,1.11
"FGR",8915,9.81257042316993,0.0286940632941012,0,0,1.21551063554685,0.281562516800263,1.22
"HOPX",5092,9.78824141459152,0.0411698894900851,0,0,1.3222370240254,0.402980817341006,1.32
"ICAM2",9957,9.75115181093584,0.0372233274111372,0,0,1.28607102219775,0.362970316494168,1.29
"CAV1",469,9.74467772028896,0.047746798665605,0,0,1.38058256027507,0.465277165171843,1.38
"NCKAP1L",8889,9.73324900468133,0.0253933264853022,0,0,1.18686806431244,0.247159569738616,1.19
"ASAP1",2474,9.71029366717545,0.0190355086338809,0,0,1.13669120175405,0.184840378939037,1.14
"BAZ1A",519,9.70344920188956,0.0254836410924714,0,0,1.18696649896735,0.247279216819982,1.19
"BTN2A2",5448,9.69797190423966,0.0152866931783401,0,0,1.10822431115503,0.148249920952275,1.11
"FXYD5",9046,9.69513084704311,0.0333979564453624,0,0,1.25162081606098,0.323797557761635,1.25
"ITGAM",2133,9.65187940654411,0.024902116237478,0,0,1.18128102689909,0.240352222891882,1.18
"MCAM",1497,9.62996483036095,0.0276056580151162,0,0,1.20233716145142,0.265841515804541,1.2
"KLRC3",3978,9.62751688902515,0.0164926769513533,0,0,1.11634544354947,0.15878352589439,1.12
"RASSF2",10144,9.61911791318366,0.0291995745792286,0,0,1.21493080649407,0.280874150892401,1.21
"CFP",7450,9.60807137339735,0.0244867784592957,0,0,1.17712759911906,0.235270715141482,1.18
"PSME1",8681,9.60308430635722,0.0251410427033517,0,0,1.18216511449681,0.241431552630014,1.18
"ARNTL2",9988,9.59140817769187,0.0138265155507478,0,0,1.09627956790799,0.132615754322424,1.1
"IL16",340,9.5802686374051,0.0165019785125284,0,0,1.11581154766662,0.158093387198709,1.12
"PLK2",7895,9.54922063208545,0.0303872745292746,0,0,1.22278841494517,0.290174788887794,1.22
"ELMO1",300,9.52773262344668,0.0164448739512681,0,0,1.11472076379263,0.156682362033965,1.11
"STX11",6908,9.51145398179718,0.0183446342209354,0,0,1.12856079995096,0.17448414420533,1.13
"ARHGAP15",640,9.50652707910392,0.0375000788428921,0,0,1.28031208048965,0.356495514988486,1.28
"ARHGAP25",3131,9.50591122473278,0.0251758170417792,0,0,1.18043539213756,0.239319081809268,1.18
"CRLF3",7780,9.47082119574118,0.0266890849417182,0,0,1.19149058481162,0.252767551360962,1.19
"ITGAX",1749,9.44029810331691,0.0243350801027754,0,0,1.1726158076991,0.229730410538296,1.17
"TRAF3IP3",5452,9.42401734758421,0.0245662305598323,0,0,1.17406524420658,0.231512582960613,1.17
"DOCK10",9965,9.41322462051947,0.0340118773144592,0,0,1.24847024780616,0.320161440926555,1.25
"C1QA",7984,9.40104721873768,0.0514363530311349,0,0,1.39818531104143,0.48355558360536,1.4
"SASH3",6955,9.3576525469508,0.0264165429519666,0,0,1.18689871812474,0.247196830436105,1.19
"LY9",757,9.34017906011528,0.0174197644704782,0,0,1.11938298172497,0.1627037193393,1.12
"CLEC10A",9481,9.33665273131541,0.0308397796100365,0,0,1.22089600046818,0.287940312529212,1.22
"SELL",9802,9.33263041399586,0.0408694299625227,0,0,1.3026227109351,0.381419285070913,1.3
"MICB",2276,9.32766072828563,0.0248919719738888,0,0,1.17461166425985,0.232183869430429,1.17
"REL",9003,9.30936316958129,0.0182373767658118,0,0,1.12488565898245,0.169778363573426,1.12
"RTP4",271,9.30799924538545,0.028006746730845,0,0,1.19804888550244,0.260686777436406,1.2
"KIAA1551",1674,9.27976124447152,0.0334384469760981,0,0,1.23996620801244,0.310300804324111,1.24
"VAV1",7171,9.2749723543046,0.0193609804072949,0,0,1.1325482839542,0.179572558029894,1.13
"AIF1",2589,9.2693842499344,0.0433478584280262,0,0,1.3211625278894,0.401807956181133,1.32
"KLF4",9882,9.24670594424168,0.0352980574825875,0,0,1.25387258931289,0.326390757944426,1.25
"CSF1R",4665,9.23514199382913,0.0317774610289742,0,0,1.22558399719007,0.293469364805948,1.23
"P2RY10",4351,9.2293162803315,0.0188213195170118,0,0,1.12795374778454,0.173707910635676,1.13
"NFE2L3",153,9.18574638699995,0.0201678298183769,0,0,1.13701916353416,0.185256569887786,1.14
"MEOX1",5679,9.17835473905842,0.0240029983593958,0,0,1.16498229845624,0.220308033743573,1.16
"PLEKHO2",9540,9.14558048385963,0.0237281437749686,0,0,1.16232026968675,0.217007648626568,1.16
"ADCY7",6646,9.13877202807269,0.0188649873572473,0,0,1.1269338388078,0.172402818770356,1.13
"GNG11",614,9.11769198817337,0.0409901318723214,0,0,1.29570330019111,0.373735396966436,1.3
"ARL4C",2147,9.03344569361563,0.0319057074794747,0,0,1.22113142181242,0.288218475832221,1.22
"GZMK",10173,9.03264202304214,0.0486381489908718,0,0,1.35597538406625,0.439330988497934,1.36
"LY86",1821,9.01138726080729,0.0332583727580574,0,0,1.23089190877263,0.299704076587139,1.23
"CD96",932,8.97776076500655,0.0199395524155894,0,0,1.1321087356424,0.17901253134847,1.13
"SP140L",6057,8.96510578577258,0.0262675696151898,0,0,1.17730778919224,0.235491540335322,1.18
"LAIR1",7827,8.93903099692556,0.0205609484749046,0,0,1.13586781713686,0.183794955743362,1.14
"PDLIM1",1687,8.93896347600195,0.0326098225728023,0,0,1.22391045753593,0.291498012937184,1.22
"CRHBP",10047,-8.91577871373611,0.0494843998655047,0,0,0.736525837333324,-0.441191958982873,0.74
"MCUB",5348,8.90755580771811,0.0350278378295709,0,0,1.24143817913239,0.312012420290602,1.24
"MFNG",8804,8.88454768071128,0.0208215918045707,0,0,1.13680942847708,0.184990425176016,1.14
"MAP3K8",6467,8.87873976450248,0.0240508451377195,0,0,1.15953084264578,0.213541195094162,1.16
"DAPP1",2786,8.85362229996711,0.0183842639600071,0,0,1.11943233765103,0.162767329364801,1.12
"RAB31",2272,8.82665020108504,0.0307783783777427,0,0,1.20720440870032,0.271669979696974,1.21
"SECTM1",8787,8.80128466546568,0.0274755564782762,0,0,1.18248361566006,0.241820193907388,1.18
"IFNAR2",2833,8.7631275752291,0.0216343202682064,0,0,1.14043506882937,0.189584308513658,1.14
"F8",5759,-8.74235393161268,0.0186933880131002,0,0,0.892903261909765,-0.163424214191488,0.89
"WAS",5861,8.73898914533046,0.0181086227874095,0,0,1.11593350031989,0.158251057976056,1.12
"SELE",6826,8.71955138222849,0.040266611068213,0,0,1.27553879995094,0.351106784197493,1.28
"CD8A",8771,8.71714158722684,0.0422262922123586,0,0,1.29064529971712,0.368092567918745,1.29
"RGS19",8447,8.68546311718219,0.0241088989137984,0,0,1.15620478835029,0.20939695231167,1.16
"TFPI2",135,8.66653358616599,0.0442525218801837,0,0,1.30451720090227,0.383515967147157,1.3
"ATP8B2",7645,8.66029634381741,0.0153585014299914,0,0,1.09657856146778,0.133009173780669,1.1
"VIM",8847,8.64806874690768,0.0462308160328849,0,0,1.31933165397355,0.399807275278033,1.32
"PIK3R5",7002,8.63944002872181,0.0125687382864211,0,0,1.07817163538773,0.108586860662235,1.08
