"","Row","d.value","stdev","rawp","q.value","R.fold","logFC","FC_round"
"FGF9",1419,5.92271140872624,0.0479933152642429,0,0,1.21777749425723,0.284250555858127,1.22
"MAL",9650,4.08717255938751,0.0694467972468737,4.88997555012225e-05,0.000147377177941674,1.21743187478477,0.28384104404477,1.22
"ACSM3",6768,4.34399274555264,0.0651192883692389,1.27139364303178e-05,4.29659558258731e-05,1.21661923286117,0.282877716271524,1.22
"SLC7A9",9963,2.9040372811269,0.097317697833876,0.00395794621026895,0.00682498991159862,1.21639704996136,0.28261422262302,1.22
"HSPA2",2957,3.61701941110266,0.0780448172502834,0.000323716381418093,0.000771772487352474,1.2161233936816,0.282289618930235,1.22
"PROZ",6017,4.76795589267045,0.0590858917323331,1.9559902200489e-06,7.50455445723816e-06,1.21564242149731,0.281718925658866,1.22
"QPRT",7194,4.63520464035673,0.0606663167644367,1.9559902200489e-06,7.50455445723816e-06,1.21520591138612,0.281200792979867,1.22
"CPE",10119,3.77657663596676,0.0744530658398493,0.00018679706601467,0.000484382848150508,1.21518646746176,0.281177708926869,1.22
"CYB5A",5708,5.35570084332203,0.0523641254749434,0,0,1.21457080057066,0.280446590965972,1.21
"HSD17B14",8094,4.14417374122793,0.0676651356451977,3.42298288508557e-05,0.0001056218924978,1.21454511298272,0.280416078337455,1.21
"FMO5",8441,5.23755437193751,0.0535392551717126,0,0,1.21454400312529,0.280414759994881,1.21
"GADD45A",1288,5.0786676939973,0.0550353629575095,9.7799511002445e-07,4.79201866926915e-06,1.21377946650564,0.279506319879719,1.21
"ASB9",2504,5.07297807907983,0.0550283512485037,9.7799511002445e-07,4.79201866926915e-06,1.21348613072208,0.279157619611564,1.21
"MUC13",6876,3.89786243990189,0.0715154683844911,0.000115403422982885,0.000316734319878773,1.21314959173971,0.278757458087899,1.21
"ATP6V0E2",4585,5.55562611131731,0.0501486283353842,0,0,1.21302310385767,0.278607029026808,1.21
"NECAB2",6433,5.92146504408201,0.0469886737382781,0,0,1.21271604762573,0.278241789008989,1.21
"NPR3",610,4.21607700059674,0.0659944008251238,2.44498777506112e-05,7.82664371834541e-05,1.21271242172461,0.278237475486967,1.21
"IGFBP2",6928,6.20302812895068,0.0447984596857341,0,0,1.21241710027957,0.277886105564272,1.21
"SUGCT",4145,4.66340397851682,0.0595699936206779,1.9559902200489e-06,7.50455445723816e-06,1.21234385440341,0.277798945250891,1.21
"MATN2",8235,5.70762258632536,0.0486654879784597,0,0,1.21231468941837,0.277764238360402,1.21
"GRHPR",274,5.16073529732959,0.0538146880615433,9.7799511002445e-07,4.79201866926915e-06,1.21228033947044,0.277723360193988,1.21
"GNG11",614,5.19806813941061,0.0533854719707133,9.7799511002445e-07,4.79201866926915e-06,1.21209377676685,0.277501320958364,1.21
"MAOB",8591,5.29156474672211,0.0524240285190865,0,0,1.21201297312771,0.277405141192754,1.21
"CA12",7093,4.85438043399338,0.0570810715641315,1.9559902200489e-06,7.50455445723816e-06,1.2117509696456,0.277093236952296,1.21
"DHTKD1",4212,4.8453027885741,0.0568686768241427,1.9559902200489e-06,7.50455445723816e-06,1.2104520733592,0.275545958398538,1.21
"ALDH2",4607,4.95384231909489,0.055516774843213,1.9559902200489e-06,7.50455445723816e-06,1.21001199453965,0.275021348637972,1.21
"CA2",9168,4.35558714710572,0.062874454072593,1.27139364303178e-05,4.29659558258731e-05,1.20903429159917,0.273855164039874,1.21
"HOXD10",8277,6.87655538357935,0.0395559717126875,0,0,1.20748798207703,0.272008830233594,1.21
"DPEP1",744,2.60850682241395,0.104106566395997,0.00978581907090465,0.0147977476020838,1.20711463411709,0.271562688702049,1.21
"NELL1",119,4.96562894698057,0.0546843642210705,1.9559902200489e-06,7.50455445723816e-06,1.2070975429868,0.271542261923376,1.21
"ELF5",9236,4.7640149158422,0.0569832205557279,1.9559902200489e-06,7.50455445723816e-06,1.20703617350956,0.271468912680214,1.21
"ENTPD5",775,4.10182994431852,0.0659718096797645,4.30317848410758e-05,0.000130761031944192,1.20631371488173,0.27060514442534,1.21
"SLC22A7",2241,4.14987897866672,0.0647167805176987,3.32518337408313e-05,0.000103269089300413,1.20461055651314,0.268566807037386,1.2
"ANGPTL3",5606,3.98171587876322,0.0671742902392005,7.92176039119804e-05,0.000226770689929608,1.20369421493654,0.267468938090074,1.2
"ECI2",9400,5.37458401932913,0.0495543897259466,0,0,1.20274785884489,0.266334231108679,1.2
"EPHX1",9933,4.58415407135946,0.0579838836713563,1.9559902200489e-06,7.50455445723816e-06,1.20230844344775,0.265807056405281,1.2
"SLC22A2",4903,3.99999303066106,0.0664098436055838,7.62836185819071e-05,0.00022034620383757,1.20216832364043,0.265638911589627,1.2
"ASAP2",5940,6.27463740082668,0.0423273186870069,0,0,1.20212638151137,0.265588576910204,1.2
"CDHR5",6981,4.94045304781706,0.0537041383653853,1.9559902200489e-06,7.50455445723816e-06,1.20190492155829,0.265322774067657,1.2
"CKB",3711,4.80061801410582,0.0551481409917061,1.9559902200489e-06,7.50455445723816e-06,1.20142380856673,0.264745159089233,1.2
"ABAT",4506,3.69176705896775,0.0715070129882961,0.00024841075794621,0.00061710468723198,1.2007928028244,0.263987235035371,1.2
"TBC1D13",1005,7.28365226802086,0.0361777701905068,0,0,1.20039257298626,0.263506297900022,1.2
"SULT1C2",6215,4.58916888876275,0.057408294952421,1.9559902200489e-06,7.50455445723816e-06,1.20035102389817,0.263456361152566,1.2
